DATE,INDPRO
1/1/1960,24.1658
2/1/1960,23.9508
3/1/1960,23.7357
4/1/1960,23.5476
5/1/1960,23.5207
6/1/1960,23.225
7/1/1960,23.1443
8/1/1960,23.1175
9/1/1960,22.8755
10/1/1960,22.8487
11/1/1960,22.5261
12/1/1960,22.096
1/1/1961,22.1229
2/1/1961,22.096
3/1/1961,22.2304
4/1/1961,22.6874
5/1/1961,23.0368
6/1/1961,23.3594
7/1/1961,23.6282
8/1/1961,23.8432
9/1/1961,23.8164
10/1/1961,24.2733
11/1/1961,24.6497
12/1/1961,24.8647
1/1/1962,24.6496
2/1/1962,25.0529
3/1/1962,25.1873
4/1/1962,25.241
5/1/1962,25.2141
6/1/1962,25.1604
7/1/1962,25.4023
8/1/1962,25.4292
9/1/1962,25.5905
10/1/1962,25.6174
11/1/1962,25.7249
12/1/1962,25.7249
1/1/1963,25.913
2/1/1963,26.2088
3/1/1963,26.37
4/1/1963,26.612
5/1/1963,26.9345
6/1/1963,27.0152
7/1/1963,26.9076
8/1/1963,26.9614
9/1/1963,27.2302
10/1/1963,27.4184
11/1/1963,27.5528
12/1/1963,27.499
1/1/1964,27.7409
2/1/1964,27.9291
3/1/1964,27.9291
4/1/1964,28.3861
5/1/1964,28.5474
6/1/1964,28.628
7/1/1964,28.8162
8/1/1964,29.0043
9/1/1964,29.1119
10/1/1964,28.7087
11/1/1964,29.5957
12/1/1964,29.9452
1/1/1965,30.2677
2/1/1965,30.4559
3/1/1965,30.8591
4/1/1965,30.9935
5/1/1965,31.2354
6/1/1965,31.4774
7/1/1965,31.7731
8/1/1965,31.9075
9/1/1965,31.9881
10/1/1965,32.3107
11/1/1965,32.4451
12/1/1965,32.8483
1/1/1966,33.1709
2/1/1966,33.3859
3/1/1966,33.8429
4/1/1966,33.8967
5/1/1966,34.2192
6/1/1966,34.3805
7/1/1966,34.5687
8/1/1966,34.5955
9/1/1966,34.9181
10/1/1966,35.16
11/1/1966,34.9181
12/1/1966,34.9987
1/1/1967,35.1638
2/1/1967,34.765
3/1/1967,34.5691
4/1/1967,34.8951
5/1/1967,34.5907
6/1/1967,34.5863
7/1/1967,34.5076
8/1/1967,35.1687
9/1/1967,35.1116
10/1/1967,35.3976
11/1/1967,35.9038
12/1/1967,36.2905
1/1/1968,36.2514
2/1/1968,36.3813
3/1/1968,36.4949
4/1/1968,36.5477
5/1/1968,36.9577
6/1/1968,37.0934
7/1/1968,37.0366
8/1/1968,37.1399
9/1/1968,37.2806
10/1/1968,37.3546
11/1/1968,37.8378
12/1/1968,37.9573
1/1/1969,38.1869
2/1/1969,38.4313
3/1/1969,38.7326
4/1/1969,38.5901
5/1/1969,38.4443
6/1/1969,38.8198
7/1/1969,39.0248
8/1/1969,39.1145
9/1/1969,39.1057
10/1/1969,39.1171
11/1/1969,38.7484
12/1/1969,38.6444
1/1/1970,37.9288
2/1/1970,37.9038
3/1/1970,37.8546
