DATE,CPIAUCSL,DFF,FEDFUNDS,GDP,INDPRO,UNRATE
1960-02-01,29.41,4.0,3.97,542.648,23.9508,4.8
1960-03-01,29.41,4.0,3.84,542.648,23.7357,5.4
1960-04-01,29.54,4.0,3.92,542.648,23.5476,5.2
1960-05-01,29.57,4.0,3.85,541.08,23.5207,5.1
1960-06-01,29.61,2.0,3.32,541.08,23.225,5.4
1960-07-01,29.55,3.25,3.23,541.08,23.1443,5.5
1960-08-01,29.61,3.5,2.98,545.604,23.1175,5.6
1960-09-01,29.61,3.0,2.6,545.604,22.8755,5.5
1960-10-01,29.75,3.0,2.47,545.604,22.8487,6.1
1960-11-01,29.78,3.0,2.44,540.197,22.5261,6.1
1960-12-01,29.81,1.5,1.98,540.197,22.096,6.6
1961-01-01,29.84,3.0,1.45,540.197,22.1229,6.6
1961-02-01,29.84,2.75,2.54,545.018,22.096,6.9
1961-03-01,29.84,2.0,2.02,545.018,22.2304,6.9
1961-04-01,29.81,2.0,1.49,545.018,22.6874,7.0
1961-05-01,29.84,0.5,1.98,555.545,23.0368,7.1
1961-06-01,29.84,2.0,1.73,555.545,23.3594,6.9
1961-07-01,29.92,0.5,1.17,555.545,23.6282,7.0
1961-08-01,29.94,1.75,2.0,567.664,23.8432,6.6
1961-09-01,29.98,1.5,1.88,567.664,23.8164,6.7
1961-10-01,29.98,1.5,2.26,567.664,24.2733,6.5
1961-11-01,29.98,2.75,2.61,580.612,24.6497,6.1
1961-12-01,30.01,2.25,2.33,580.612,24.8647,6.0
1962-01-01,30.04,2.5,2.15,580.612,24.6496,5.8
1962-02-01,30.11,2.25,2.37,594.013,25.0529,5.5
1962-03-01,30.17,2.5,2.85,594.013,25.1873,5.6
1962-04-01,30.21,2.75,2.78,594.013,25.241,5.6
1962-05-01,30.24,2.5,2.36,600.366,25.2141,5.5
1962-06-01,30.21,2.75,2.68,600.366,25.1604,5.5
1962-07-01,30.22,2.75,2.71,600.366,25.4023,5.4
1962-08-01,30.28,3.0,2.93,609.027,25.4292,5.7
1962-09-01,30.42,3.0,2.9,609.027,25.5905,5.6
1962-10-01,30.38,3.0,2.9,609.027,25.6174,5.4
1962-11-01,30.38,3.0,2.94,612.28,25.7249,5.7
1962-12-01,30.38,2.88,2.93,612.28,25.7249,5.5
1963-01-01,30.44,3.0,2.92,612.28,25.913,5.7
1963-02-01,30.48,3.0,3.0,621.672,26.2088,5.9
1963-03-01,30.51,3.0,2.98,621.672,26.37,5.7
1963-04-01,30.48,3.0,2.9,621.672,26.612,5.7
1963-05-01,30.51,3.0,3.0,629.752,26.9345,5.9
1963-06-01,30.61,3.0,2.99,629.752,27.0152,5.6
1963-07-01,30.69,3.0,3.02,629.752,26.9076,5.6
1963-08-01,30.75,3.5,3.49,644.444,26.9614,5.4
1963-09-01,30.72,3.5,3.48,644.444,27.2302,5.5
1963-10-01,30.75,3.5,3.5,644.444,27.4184,5.5
1963-11-01,30.78,3.5,3.48,653.938,27.5528,5.7
1963-12-01,30.88,3.5,3.38,653.938,27.499,5.5
1964-01-01,30.94,3.25,3.48,653.938,27.7409,5.6
1964-02-01,30.91,3.5,3.48,669.822,27.9291,5.4
1964-03-01,30.94,3.5,3.43,669.822,27.9291,5.4
1964-04-01,30.95,3.5,3.47,669.822,28.3861,5.3
1964-05-01,30.98,3.5,3.5,678.674,28.5474,5.1
1964-06-01,31.01,3.5,3.5,678.674,28.628,5.2
1964-07-01,31.02,3.5,3.42,678.674,28.8162,4.9
1964-08-01,31.05,3.5,3.5,692.031,29.0043,5.0
1964-09-01,31.08,3.5,3.45,692.031,29.1119,5.1
1964-10-01,31.12,3.5,3.36,692.031,28.7087,5.1
1964-11-01,31.21,3.5,3.52,697.319,29.5957,4.8
1964-12-01,31.25,4.0,3.85,697.319,29.9452,5.0
1965-01-01,31.28,4.0,3.9,697.319,30.2677,4.9
1965-02-01,31.28,4.0,3.98,717.79,30.4559,5.1
1965-03-01,31.31,4.0,4.05,717.79,30.8591,4.7
1965-04-01,31.38,4.13,4.09,717.79,30.9935,4.8
1965-05-01,31.48,4.13,4.1,730.191,31.2354,4.6
1965-06-01,31.61,4.13,4.05,730.191,31.4774,4.6
1965-07-01,31.58,4.13,4.09,730.191,31.7731,4.4
1965-08-01,31.55,4.13,4.12,749.323,31.9075,4.4
1965-09-01,31.62,3.75,4.02,749.323,31.9881,4.3
1965-10-01,31.65,4.13,4.08,749.323,32.3107,4.2
1965-11-01,31.75,4.13,4.1,771.857,32.4451,4.1
1965-12-01,31.85,4.13,4.32,771.857,32.8483,4.0
1966-01-01,31.88,4.63,4.42,771.857,33.1709,4.0
1966-02-01,32.08,4.25,4.6,795.734,33.3859,3.8
1966-03-01,32.18,4.63,4.66,795.734,33.8429,3.8
1966-04-01,32.28,4.75,4.67,795.734,33.8967,3.8
1966-05-01,32.35,4.63,4.9,804.981,34.2192,3.9
1966-06-01,32.38,4.25,5.17,804.981,34.3805,3.8
1966-07-01,32.45,5.5,5.3,804.981,34.5687,3.8
1966-08-01,32.65,5.63,5.53,819.638,34.5955,3.8
1966-09-01,32.75,5.88,5.4,819.638,34.9181,3.7
1966-10-01,32.85,5.75,5.53,819.638,35.16,3.7
1966-11-01,32.88,6.0,5.76,833.302,34.9181,3.6
1966-12-01,32.92,5.5,5.4,833.302,34.9987,3.8
1967-01-01,32.9,5.0,4.94,833.302,35.1638,3.9
1967-02-01,33.0,4.0,5.0,844.17,34.765,3.8
1967-03-01,33.0,3.75,4.53,844.17,34.5691,3.8
1967-04-01,33.1,4.5,4.05,844.17,34.8951,3.8
1967-05-01,33.1,4.0,3.94,848.983,34.5907,3.8
1967-06-01,33.3,4.0,3.98,848.983,34.5863,3.9
1967-07-01,33.4,3.5,3.79,848.983,34.5076,3.8
1967-08-01,33.5,3.75,3.9,865.233,35.1687,3.8
1967-09-01,33.6,4.0,3.99,865.233,35.1116,3.8
1967-10-01,33.7,3.75,3.88,865.233,35.3976,4.0
1967-11-01,33.9,4.13,4.13,881.439,35.9038,3.9
1967-12-01,34.0,4.5,4.51,881.439,36.2905,3.8
1968-01-01,34.1,4.5,4.61,881.439,36.2514,3.7
1968-02-01,34.2,4.75,4.71,909.387,36.3813,3.8
1968-03-01,34.3,4.75,5.05,909.387,36.4949,3.7
1968-04-01,34.4,5.5,5.76,909.387,36.5477,3.5
1968-05-01,34.5,6.38,6.12,934.344,36.9577,3.5
1968-06-01,34.7,6.13,6.07,934.344,37.0934,3.7
1968-07-01,34.9,6.13,6.03,934.344,37.0366,3.7
1968-08-01,35.0,6.0,6.03,950.825,37.1399,3.5
1968-09-01,35.1,5.75,5.78,950.825,37.2806,3.4
1968-10-01,35.3,6.0,5.91,950.825,37.3546,3.4
1968-11-01,35.4,6.0,5.82,968.03,37.8378,3.4
1968-12-01,35.6,6.0,6.02,968.03,37.9573,3.4
1969-01-01,35.7,4.0,6.3,968.03,38.1869,3.4
1969-02-01,35.8,6.38,6.61,993.337,38.4313,3.4
1969-03-01,36.1,7.0,6.79,993.337,38.7326,3.4
1969-04-01,36.3,6.63,7.41,993.337,38.5901,3.4
1969-05-01,36.4,8.25,8.67,1009.02,38.4443,3.4
1969-06-01,36.6,9.38,8.9,1009.02,38.8198,3.5
1969-07-01,36.8,8.75,8.61,1009.02,39.0248,3.5
1969-08-01,36.9,9.5,9.19,1029.956,39.1145,3.5
1969-09-01,37.1,9.75,9.15,1029.956,39.1057,3.7
1969-10-01,37.3,8.0,9.0,1029.956,39.1171,3.7
1969-11-01,37.5,9.0,8.85,1038.147,38.7484,3.5
1969-12-01,37.7,9.63,8.97,1038.147,38.6444,3.5
1970-01-01,37.9,5.0,8.98,1038.147,37.9288,3.9
1970-02-01,38.1,9.38,8.98,1051.2,37.9038,4.2
1970-03-01,38.3,8.5,7.76,1051.2,37.8546,4.4
1970-04-01,38.5,8.0,8.1,1051.2,37.7573,4.6
1970-05-01,38.6,8.63,7.95,1067.375,37.7133,4.8
1970-06-01,38.8,7.75,7.61,1067.375,37.5913,4.9
1970-07-01,38.9,7.0,7.21,1067.375,37.6836,5.0
1970-08-01,39.0,6.75,6.62,1086.059,37.6164,5.1
1970-09-01,39.2,6.75,6.29,1086.059,37.3571,5.4
1970-10-01,39.4,6.5,6.2,1086.059,36.6098,5.5
1970-11-01,39.6,6.13,5.6,1088.608,36.3881,5.9
1970-12-01,39.8,5.63,4.9,1088.608,37.2237,6.1
1971-01-01,39.9,3.0,4.14,1088.608,37.5101,5.9
1971-02-01,39.9,4.38,3.72,1135.156,37.4386,5.9
1971-03-01,40.0,3.63,3.71,1135.156,37.398,6.0
1971-04-01,40.1,4.0,4.16,1135.156,37.608,5.9
1971-05-01,40.3,4.25,4.63,1156.271,37.7989,5.9
1971-06-01,40.5,4.75,4.91,1156.271,37.9574,5.9
1971-07-01,40.6,5.25,5.31,1156.271,37.8472,6.0
